##software,lang,arch,versite,versionregex,dlsite,dlregex,current_version,onlycheck
3DXWare,multi,x64,http://www.3dconnexion.de/service/drivers.html,<td class="col4">([\d\.]+)</td>,http://www.3dconnexion.de/service/drivers.html,<a.+?class="[^"]*windows-64-bit".*?href="([^"]*)".*?>,10.2.9
#7-zip,multi,x86,http://www.7-zip.org/,Download 7-Zip ([\d\.]*).*?Windows,http://www.7-zip.org/,<A href="(.*?7z.*?\.exe)">Download,9.20
7-zip,multi,x64,http://www.7-zip.org/,Download 7-Zip ([\d\.]*).*?Windows,http://www.7-zip.org/,<A href="(.*?7z.*?-x64\.msi)">Download,9.20
#ActivePerl,en,x86,http://www.activestate.com/activeperl/downloads,href="[^"]*dl=.*?-([\d\.]+)-MSWin32-x86[^"]*",http://www.activestate.com/activeperl/downloads,href="[^"]*dl=(.*?-[\d\.]+-MSWin32-x86[^"]*)",5.20.1.2000
ActivePerl,en,x64,http://www.activestate.com/activeperl/downloads,href="[^"]*dl=.*?-([\d\.]+)-MSWin32-x86[^"]*",http://www.activestate.com/activeperl/downloads,href="[^"]*dl=(.*?-[\d\.]+-MSWin32-x64[^"]*)",5.20.2.2002
Adobe Reader,multi,x86,ftp://ftp.adobe.com/pub/adobe/reader/win/11.x/,[\d\.]+,ftp://ftp.adobe.com/pub/adobe/reader/win/11.x/%VER%/misc,AdbeRdrUpd[\d\.]+?\.msp,11.0.13,yes
Anaconda,en,x64,http://continuum.io/downloads,href="https://[^"]*Anaconda-([\d\.]+)-Windows-x86_64.exe",http://continuum.io/downloads,href="(https://[^"]*Anaconda-[\d\.]+-Windows-x86_64.exe)",2.3.0
AnyVideo Converter Free,de,x86,http://www.any-video-converter.com/products/for_video_free/whatnew.php,<td class="version"><span class="number">([\d\.]+)</span>,http://www.any-video-converter.com/download-avc-free.php,<a href="(.*?\.exe)">,5.8.5
Audacity,multi,x86,http://sourceforge.net/p/audacity/news/,Audacity ([\d\.]+),http://audacity.sourceforge.net/?lang=de,<a.*?href="/projects/audacity/files/latest/download".*?>,2.1.0
Audiograbber,de,x86,http://www.audiograbber.de/downloads/agsetup,<span.*?Download von Audiograbber ([\d\.]*)</span>,http://www.audiograbber.de/downloads/agsetup,<iframe.*?src="([^"]*)">,1.83
#Blender,multi,x86,http://www.blender.org/download/#windows,href="[^"]*?blender-(.*?)-windows32.exe",http://www.blender.org/download/#windows,href="([^"]*?blender-.*?-windows32.exe)",2.73a
Blender,de,x64,http://www.blender.org/download/#windows,href="[^"]*?blender-(.*?)-windows64.msi",http://www.blender.org/download/#windows,href="([^"]*?blender-.*?-windows64.msi)",2.76
#CadSoft EAGLE,multi,x86,http://www.cadsoft.de/download-eagle/,<a href="[^"]*?eagle-win32-([\d\.]+).exe",http://www.cadsoft.de/download-eagle/,<a href="([^"]*?eagle-win32-[\d\.]*.exe)",7.2.0
CadSoft EAGLE,multi,x64,http://www.cadsoft.de/download-eagle/,<a href="[^"]*?eagle-win64-([\d\.]+).exe",http://www.cadsoft.de/download-eagle/,<a href="([^"]*?eagle-win64-[\d\.]*.exe)",7.4.0
